"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","건설세대총수","60미만건설세대수","60이상85이하건설세대수","85초과건설세대수","건축계획비고"
"11590-100002004","동작구","","재개발(주택정비형)","추진위원회","흑석1재정비촉진구역 조합설립추진위원회","흑석동 43-7","조합설립추진위원회승인","운영","흑석1재정비촉진구역","서울시 동작구 흑석동 43-7번지 ","26675.00","","제1종일반 제2종일반(7층) 제2종 일반 제3종 일반","","18165.00","6122.00","2388.00","","","","","","","","","","","","","","",""
"11620-100001000","관악구","","재개발(주택정비형)","추진위원회","봉천 제13구역 주택재개발정비사업 조합설립추진위원회","봉천동 913-1","조합설립추진위원회승인","운영","봉천제13구역 주택재개발정비사업","서울시 관악구 봉천동 913번지","12272.50","40138.16","제3종일반주거지역","중심미관지구","","","","","","","","아파트 판매시설 근린생활시설","46.04","283.10","67","2","2","","","34","158",""
"11680-100002003","강남구","","재건축","추진위원회","도곡삼익아파트 재건축정비사업 조합설립추진위원회","도곡동 869","조합설립추진위원회승인","운영","도곡삼익아파트 재건축정비구역","강남구 도곡동 869(논현로218)","17655.00","76709.93","도시지역 제3종일반주거지역","일반미관지구 정비구역","16377.00","750.00","528.00","","","","","공동주택 및 부대복리시설","19.83","299.99","29","29","2","","","71","247",""
"11680-900000052","강남구","","재건축","추진위원회","개포5차우성아파트 재건축정비사업 조합설립추진위원회","도곡동 463-1","조합설립추진위원회승인","운영","도곡동개포5차우성아파트재건축정비구역","강남구 도곡동 463-1","851.07","","","","","","","","","","","","","","","","","","","","",""
"11260-100002001","중랑구","","재건축","추진위원회","중화동324번지일대 주택재건축정비사업 조합설립추진위원회","중화동 324","조합설립추진위원회승인","일시중단","중화동 324번지 일대주택재건축사업","중랑구 중화동 324-0","17834.70","57057.00","제2종일반주거지역","건축허가착공제한지역 등","14249.80","1228.80","2356.10","","","","","공동주택(아파트)","16.84","289.60","","43","2","365","166","120","79",""
"11305-900000031","강북구","","재건축","추진위원회","수유제4-1구역 주택재건축정비사업 조합설립추진위원회","수유동 170-2","조합설립추진위원회승인","일시중단","","","79000.00","","제1종일반주거지역 제2종일반주거지역(7층이하)","역사문화미관지구 최고고도지구(5층이하 20m 완화시 7층이하 28m)","","","","","","","","","","","","","","","","","",""
"11305-100004002","강북구","","재개발(도시정비형)","추진위원회","강북5구역 도시환경정비사업 조합설립추진위원회","미아동 61-79","조합설립추진위원회승인","일시중단","강북5구역 도시환경정비사업","강북구 미아동 61-79","128.70","89665.22","일반상업지역","미아중심재정비촉진지구","9186.00","3300.00","377.00","","","","7.00","공동주택업무판매근린생활","53.17","589.00","100","27","5","","","124","84",""
"11650-900000145","서초구","","재건축","추진위원회","반포경남아파트 주택재건축 정비사업","반포동 1-8","조합설립추진위원회승인","일시중단","반포경남아파트구역","서울특별시 서초구 반포2동 1-8번지 외 3필지","62495.60","","","","","","","","","","","","","","","","","","","","",""
"11215-900000150","광진구","","재건축","추진위원회","중곡아파트 주택재건축정비사업조합설립추진위원회","중곡동 190-26","조합설립추진위원회승인","운영","중곡아파트 주택재건축정비사업","광진구 중곡동 190-26","1026.23","42796.90","제2종일반주거지역","","8374.00","1293.30","595.00","","632.10","","","공동주택","","299.69","","","","","","","",""
"11170-100003006","용산구","","재개발(주택정비형)","추진위원회","청파제1구역 주택재개발정비사업 조합설립추진위원회","청파동2가 106","조합설립추진위원회승인","운영","청파제1구역주택재개발정비사업조합설립추진위원회","서울특별시 용산구 청파동2가 11-1번지","27000.00","","","","","","","","","","","","","","","","","","","","",""
"11620-100003003","관악구","","재건축","추진위원회","봉천6-1구역 주택재건축정비사업 조합설립추진위원회","봉천동 63-89","조합설립추진위원회승인","일시중단","봉천6-1구역 주택재건축정비사업","서울시 관악구 봉천6동 63-39번지일대","16000.00","","제2종 일반주거지역","","","","","","","","","","","","","","","","","","",""
"11470-900000138","양천구","","재개발(도시정비형)","추진위원회","신정3재정비촉진3-1구역 도시환경정비사업 조합설립추진위원회","신정동 1190-1","조합설립추진위원회승인","운영","신정3재정비촉진3-1구역","서울시 양천구 신정3동 1190-1번지","20536.90","91621.00","","","","","","","","","","주상복합오피스텔근린생활시설","55.98","529.99","79","23","4","","","","",""
"11230-900000765","동대문구","","재개발(주택정비형)","추진위원회","답십리자동차부품상가 도시정비형 재개발정비사업 조합설립추진위원회","답십리동 952","조합설립추진위원회승인","운영","답십리자동차부품상가 도시정비형 재개발정비사업","동대문구 답십리동 952-0","17914.00","179241.60","주거지역상업지역","","14094.00","2125.00","1695.00","","","","","공동주택 및 판매시설","59.26","799.87","1021","92","8","","","","",""
"11440-900000005","마포구","","재건축","추진위원회","신수2구역 주택재건축정비사업 조합설립추진위원회","신수동 225-7","조합설립추진위원회승인","운영","신수 2구역 주택재건축 추진위원회","마포구 신수동255-7번지 ","17264.50","44870.56","제2종 일반주거지역","일반미관지구","11785.10","1862.90","942.50","","","","315.10","공동주택","24.87","244.61","","18","3","234","54","128","52",""
"11680-900000761","강남구","","재건축","추진위원회","압구정아파트지구 특별계획구역① 재건축사업","압구정동 414","조합설립추진위원회승인","운영","압구정아파트지구 특별계획구역① 재건축사업","강남구 압구정동 414번지","81454.00","359108.29","제3종 일반주거지역","아파트지구 미관지구","66247.10","2760.80","7160.00","2726.10","","","2560.00","공동주택 및 부대복리시설","25.40","299.94","","35","3","","","745","648",""
"11680-100002000","강남구","","재건축","추진위원회","개포럭키아파트 재건축정비사업 조합설립추진위원회","도곡동 462","조합설립추진위원회승인","운영","개포럭키아파트 주택재건축정비사업","강남구 도곡동 462 ","6198.00","28891.60","제3종 일반주거지역","","5774.00","167.00","257.00","","","","","아파트","25.98","298.53","","23","2","","103","54","",""
"11230-900000737","동대문구","","재개발(주택정비형)","추진위원회","용두1도시환경정비구역 제5지구 조합설립추진위원회","용두동 23-1","조합설립추진위원회승인","운영","용두1도시환경정비구역 제5지구","동대문구 용두동 23-1","15457.10","36948.00","","","","","","","","","","준주거지역","50.00","549.00","60","18","5","","","211","482",""
"11110-100008013","종로구","","재개발(도시정비형)","추진위원회","창신4구역 도시환경정비사업 조합설립추진위원회","창신동 330-1","조합설립추진위원회승인","운영","창신4도시환경정비구역","창신동 329번지","11509.00","","일반상업지역","중심미관지구  방화지구","8056.00","1778.00","","247.00","","","1428.00","주거 판매","60.00","950.00","121","36","6","420","84","189","147",""
"11560-100003002","영등포구","","재건축","추진위원회","75. 여의도 시범아파트주택재건축정비사업 조합설립추진위원회","여의도동 50","조합설립추진위원회승인","일시중단","시범아파트","서울시 영등포구 여의도동 50번지","98843.00","","","","","","","","","","","","","","","","","","","","",""
"11290-100004001","성북구","","재개발(주택정비형)","추진위원회","성북제1구역 주택재개발정비사업조합설립추진위원회","성북동 179-68","조합설립추진위원회승인","운영","성북제1구역주택재개발정비사업조합설립추지위원회","성북1동 179-68번지","127899.00","338500.80","1종2종일반주거지역","자연경관지구","106566.00","7516.00","4875.00","4659.00","4283.00","0.00","0.00","공동주택","27.00","221.04","","13","2","2044","551","1164","329",""
"11470-100001010","양천구","","재개발(주택정비형)","추진위원회","신월1구역 주택재개발정비사업 조합설립추진위원회","신월동 159-192","조합설립추진위원회승인","일시중단","신월1구역","양천구 신월동 159-192","92546.13","236011.77","제1종일반주거지역 제2종일반주거지역(7층이하) 제2종 일반주거지역 준주거지역","공항고도지구","74172.30","12366.13","4640.00","","","","","공동주택 및 부대복리시설","34.45","207.09","","13","2","1400","537","557","306",""
"11710-900000179","송파구","","재건축","추진위원회","오금동 143번지 일대 조합설립추진위원회","오금동 143-","조합설립추진위원회승인","일시중단","오금동 143","오금동 143번지","14180.00","37380.72","제2종일반주거지역","","11240.00","1630.00","","","","","1310.00","아파트","29.00","226.77","","7","2","","206","60","",""
"11230-900000357","동대문구","","재개발(도시정비형)","추진위원회","용두제7구역 도시환경정비사업 조합설립추진위원회","용두동 53-6","조합설립추진위원회승인","일시중단","용두제7 도시환경정비사업구역","서울특별시 동대문구 용두동 53-6번지","2933.20","19654.54","도시지역준주거지역","","2380.00","553.20","","","","","","공동주택 및 근린생활시설","45.80","486.33","50","15","4","","84","28","",""
