"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","건설세대총수","60미만건설세대수","60이상85이하건설세대수","85초과건설세대수","건축계획비고"
"11305-100003000","강북구","","재개발(도시정비형)","조합","미아중심재정비촉진지구 강북2재정비촉진구역 도시환경정비사업조합","미아동 42-8","조합설립인가","일시중단","미아균형발전촉진지구 강북2구역 도시환경정비구역","서울특별시 강북구 미아동 42-8번지","18958.00","189446.00","일반상업지역 준주거지역","중심지미관지구 일반미관지구","15384.50","2907.30","666.20","0.00","0.00","0.00","0.00","공동주택","59.05","607.44","149","43","7","333","9","9","315",""
"11380-900000759","은평구","","재건축","조합","불광1주택재건축정비사업(신탁방식)","불광동 19-3","조합설립인가","운영","불광1주택재건축정비사업","은평구 불광동 19-3","25692.00","75209.07","제2종 일반주거지역","","20377.00","","","","","","5315.00","공동주택 및 근린생활시설","24.98","228.91","","15","3","","386","141","",""
"11680-900000762","강남구","","재건축","조합","압구정아파트지구 특별계획구역② 재건축정비사업조합","압구정동 434","조합설립인가","운영","압구정아파트지구 특별계획구역② 재건축사업","강남구 압구정동 434-0","172588.20","575489.73","제3종일반주거지역","역사미관지구","156433.70","16154.50","","","","","","공동주택","15.78","229.98","110","3","35","2591","409","1002","1180",""
"11110-100003018","종로구","","재개발(도시정비형)","조합","종로6가 도시환경정비사업 조합","종로6가 117","조합설립인가","일시중단","종로6가 도시환경정비구역","종로구 종로6가 82-1번지","12556.30","","일반상업지역","","9665.40","","2890.90","","","","","","60.00","660.00","75","","","","","","234",""
"11680-900000133","강남구","","재건축","조합","논현청학아파트재건축정비사업 조합","논현동 62-3","조합설립인가","일시중단","","","","","","","","","","","","","","","","","","","","","","","",""
"11170-900000172","용산구","","재개발(도시정비형)","조합","한강로구역 도시환경정비사업조합","한강로1가 158-","조합설립인가","운영","한강로도시환경정비사업","용산구 한강로1가 158 일대","41744.00","172156.25","일반상업지역준주거지역제1종일반주거지역제2종일반주거지역제3종일반주거지역","중심지미관지구방화지구","41744.00","1854.00","7400.50","","","","","공동주택 업무시설 판매시설 근린생활시설","22.64","448.01","119","38","5","476","204","202","70",""
"11740-900000764","강동구","","소규모재건축","조합","길동한전우성아파트 소규모주택정비사업조합","길동 332","조합설립인가","운영","길동한전우성아파트 소규모주택정비사업","강동구 길동 332-0","6994.80","28071.90","2종 일반주거지역","","","","","","","","","","","249.98","","22","2","","","","",""
"11140-100002006","중구","","재개발(주택정비형)","조합","신당제9구역 주택재개발정비사업조합","신당동 432-1008","조합설립인가","운영","신당제9 주택재개발정비구역","서울특별시 중구 신당2동 432-1008번지","18653.00","53834.44","제2종일반주거지역(7층이하)   제3종일반주거지역","최고고도지구(7층28m이하)   일반미관지구","17553.00","399.00","","","","","701.00","공동주택 및 부대복리시설","35.80","162.50","28","7","6","","167","148","",""
"11290-900000097","성북구","","재개발(주택정비형)","조합","돈암6구역 주택재개발정비사업조합","돈암동 48-29","조합설립인가","운영","돈암제6 주택재개발정비구역","성북구 돈암동 48-29","47050.00","127865.64","제1종 및 제3종일반주거지역","중심미관지구일반미관지구","35244.00","9453.00","2353.00","","","","","공동주택","23.57","265.18","73","25","2","737","245","364","128",""
"11170-900000101","용산구","","재개발(주택정비형)","조합","한남4재정비촉진구역 주택재개발정비사업 조합","보광동 360","조합설립인가","운영","한남4재정비촉진구역주택재개발정비사업조합설립추진위원회","용산구 보광동 360-0","162030.00","331371.50","제1종일반주거지역제2종일반주거지역(7층)제3종일반주거지역준주거지역","미관지구","112998.00","34565.00","","6027.00","6219.00","2221.00","","주상복합 및 공동주택","60.00","210.00","95","29","","1630","358","879","393",""
"11230-100003013","동대문구","","재개발(주택정비형)","조합","제기제6구역주택재개발정비사업조합","제기동 120-104","조합설립인가","운영","제기제6주택재개발 정비구역","동대문구 제기동 120-104번지","24320.60","56302.97","제2종 일반주거지역","","17497.00","4006.10","2457.70","","359.80","","","아파트","24.97","239.81","49","19","2","312","98","162","52",""
"11230-100006044","동대문구","","재개발(주택정비형)","조합","이문4재정비촉진구역 주택재개발정비사업조합","이문동 86-1","조합설립인가","운영","이문4재정비촉진구역","서울특별시 동대문구 이문동 86-1","151388.00","505257.98","일반주거지역","재정비촉진지구","117387.00","20753.00","11550.00","0.00","0.00","10000.00","","공동주택 및 부대복리시설","35.00","317.00","140","40","","2783","1679","720","384",""
"11680-100003000","강남구","","재건축","조합","압구정한양7차아파트 재건축정비사업조합","압구정동 528","조합설립인가","운영","압구정한양7차 주택재건축정비사업","서울시 강남구 압구정동 528번지 ","16437.10","69137.90","제3종 일반주거지역","아파트지구","","","","","","","","","","260.07","","23","2","","","","",""
"11590-100001001","동작구","","재개발(주택정비형)","조합","노량진1재정비촉진구역 조합","노량진동 278-2","조합설립인가","운영","노량진1재정비촉진구역","동작구 노량진동278-4번지","132132.00","411591.63","제3종 일반 주거지역","재정비촉진지구","106753.00","10237.00","8372.00","","","","6770.00","공동주택 및 부대시설","26.62","492.30","","34","4","2283","1171","1011","101",""
"11620-100003000","관악구","","재건축","조합","봉천1-1구역 재건축정비사업 조합","봉천동 728-57","조합설립인가","운영","봉천1-1구역주택재건축정비사업","관악구 봉천동(보라매동) 728-57번지","34142.00","132038.48","제3종 일반주거지역","일반미관지구","27929.00","3646.00","2130.00","","845.00","","","공동주택 및 부대복리시설","23.11","279.08","89","28","3","661","227","350","84",""
"11710-900000740","송파구","","재건축","조합","가락미륭아파트 재건축정비사업조합","가락동 138","조합설립인가","운영","가락미륭아파트 재건축정비사업","송파구 가락동 138-0","20296.60","","제3종일반주거지역","","","","","","","","","","","299.25","","21","2","","147","363","",""
"11620-900000021","관악구","","재개발(주택정비형)","조합","봉천제14구역 재개발정비사업조합","봉천동 1","조합설립인가","운영","봉천 제14구역 주택재개발정비사업조합설립추진위원회","봉천3동 1번지","74209.40","195793.00"," 제3종일반주거지역","","57456.20","6906.80","8141.80","","704.60","","","공동주택 등","22.29","249.50","","25","3","1115","419","558","138","1115세대"
"11260-900000573","중랑구","","가로주택정비","조합","면목우성주택외 3필지 가로주택정비사업조합","면목동 173-2","조합설립인가","운영","면목우성주택외3필지 가로주택정비사업구역","중랑구 면목동 173-2외3필지","1364.00","2668.66","제2종일반주거지역","","1337.38","26.62","","","","","","아파트","41.34","195.65","","7","0","","34","6","",""
"11620-100003010","관악구","","재개발(주택정비형)","조합","봉천4-1-3구역 주택재개발정비사업조합","봉천동 480","조합설립인가","운영","관악구 봉천동 4-1-3구역 주택재개발 정비사업","관악구 봉천동 480번지","79826.60","81265.01","제2종 일반주거지역(7층) 제3종 일반주거지역","일부 3종 일반주거지역","46202.80","11714.50","8081.00","","","13828.30","","공동주택 및 부대복리시설","20.15","270.37","85","28","2","841","438","284","119",""
"11230-900000723","동대문구","","재개발(주택정비형)","조합","용두1구역 제2지구 재개발정비사업조합","용두동 23-8","조합설립인가","운영","용두1도시환경정비사업 제2지구","동대문구 용두동 23-7","3701.00","33031.00","일반상업지역","재정비촉진지구","2546.30","1154.70","","","","","","판매업무시설","49.10","898.99","89","24","5","","","","",""
"11530-900000731","구로구","","소규모재건축","조합","길훈아파트소규모재건축정비사업조합","오류동 150-42","조합설립인가","운영","길훈아파트 소규모재건축정비사업","구로구 오류동 150-42","9096.00","34572.32","도시지역","제2종일반주거지역","9096.00","0.00","0.00","0.00","0.00","0.00","0.00","공동주택","24.31","187.27","0","15","2","","238","4","",""
"11170-100005006","용산구","","재건축","조합","한양철우아파트 주택재건축 정비사업조합","한강로3가 65-500","조합설립인가","일시중단","한양철우아파트 주택재건축정비사업조합","서울시 용산구 한강로 3가 65-500번지","3585.40","","제3종일반주거지역","대공방어협조구역","","","","","","","","아파트","19.02","291.64","","14","2","","","","81","0"
"11500-900000622","강서구","","재건축","조합","경남1차주택재건축정비사업조합","내발산동 716-20","조합설립인가","일시중단","경남1차주택재건축정비사업","강서구 내발산동 716-20","3353.60","9102.52","제2종일반주거지역(7층이하)","공항시설보호지구최고고도지구학교환경위생정화구역","3351.60","","","","","","","주거용아파트","60.00","200.00","7","7","1","87","32","55","0",""
"11200-100002017","성동구","","재건축","조합","응봉1구역 주택재건축정비사업 조합","응봉동 193-162","조합설립인가","운영","응봉1주택재건축정비사업","성동구 응봉동 193-162번지","35587.00","85595.88","제1종일반주거지역 제2종일반주거지역(7층)","일반미관지구(독서당길변)","26530.00","3638.00","3836.00","","","","260.00","공동주택및부대복리시설","30.00","218.00","51","17","3","501","113","280","108",""
"11170-100005000","용산구","","재건축","조합","한강맨션아파트 주택재건축 조합","이촌동 300-23","조합설립인가","운영","한강맨션아파트주택재건축정비사업조합설립추진위원회","서울시용산구 이촌로 248 한강맨션","84096.80","323175.54","제3종 일반주거지역","정비구역(아파트지구) 일반미관지구","74708.40","3883.00","4505.40","0.00","1000.00","0.00","0.00","공동주택및부대복리시설","19.35","254.80","102","35","3","1291","151","598","542","분양/임대분이 한단지에 섞여있는 상황이므로 별도의 대지면적 건축면적 동수는 구분할 수는 없습니다."
"11305-900000117","강북구","","재개발(주택정비형)","조합","미아3재정비촉진구역 주택재개발정비사업조합","미아동 439-","조합설립인가","운영","미아3재정비촉진구역 주택재개발정비사업조합","강북구 미아동 439번지 일대","57553.40","157220.04","제2종 제3종 일반주거지역","일반미관지구","42772.00","11433.40","3156.00","","","","192.00","아파트","24.65","229.06","90","29","3","858","471","384","3",""
"11290-900000806","성북구","","가로주택정비","조합","장위11-2구역 가로주택정비사업 조합","장위동 68-833","조합설립인가","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11290-100023000","성북구","","재개발(주택정비형)","조합","길음5재정비촉진구역 주택재개발정비사업 조합","정릉동 175","조합설립인가","운영","길음5재정비촉진구역","서울특별시 성북구 정릉동 175번지","35388.00","105080.07","제3종 일반주거지역","일반미관지구재정비촉진지구","26194.00","4088.00","3842.00","900.00","364.00","","","공동주택(아파트)","16.23","249.99","","28","2","571","114","265","192",""
"11560-900000624","영등포구","","재건축","조합","삼성아파트 주택재건축정비사업조합","신길동 4759","조합설립인가","운영","신길삼성아파트 주택재건축정비사업","영등포구 신길동 4759-0","15945.00","","제3종일반주거지역","","15945.00","","","","","","","공동주택및 부대복리시설","50.00","299.99","77","25","3","","415","148","","2019.11.14정비구역정비계획 변경 및 지형도면 고시"
"11305-900000025","강북구","","재건축","조합","미아4재정비촉진구역 주택재건축정비사업조합","미아동 1261-376","조합설립인가","운영","미아4재정비촉진구역","서울특별시 강북구 미아동 1261번지","28802.00","60960.96","제3종일반주거지역","미아재정비촉진지구","28802.00","5519.00","3668.00","","113.00","","","조합원 및 분양아파트 종교시설 등","50.00","250.00","90","29","2","387","163","164","60",""
"11545-100002005","금천구","","소규모재건축","조합","대도연립 소규모재건축사업조합","시흥동 983-13","조합설립인가","운영","대도연립 소규모재건축사업조합","서울시 금천구 시흥대로 73 대도연립 가동103호","7293.20","25591.03","준공업지역","","","","","","","","","","24.30","249.98","","20","2","","","199","",""
"11710-900000144","송파구","","재개발(주택정비형)","조합","마천3재정비촉진구역 주택재개발정비사업조합","마천동 283-","조합설립인가","운영","마천3구역 존치정비구역","마천동 283","133830.00","","도시지역 제2종일반주거지역","재정비촉진지구 과밀억제권역 등","87153.00","14436.00","20121.00","4171.00","5701.00","0.00","","공동주택 및 근린생활시설 등","30.00","270.49","","32","","1887","817","872","198",""
"11650-900000130","서초구","","재건축","조합","방배신삼호아파트 재건축정비사업조합","방배동 725","조합설립인가","운영","방배신삼호아파트","서초구 방배동 725","44106.00","184473.50","제2종(7층).제3종일반주거지역","사평로.일반미관지구","39680.00","1965.00","2461.00","","","","","공동주택및 부대복리시설","18.22","299.95","","30","2","718","63","232","423",""
"11680-900000131","강남구","","재건축","조합","역삼동(758은하수760) 주택재건축정비사업조합","역삼동 758-","조합설립인가","운영","역삼동(758 은하수 760) 주택재건축정비사업","역삼동 758번지","12263.00","44648.24","제3종일반주거지역","아파트지구","12263.00","570.00","","","","","650.00","공동주택","26.88","211.83","42","15","3","233","112","81","40",""
"11200-900000696","성동구","","재개발(도시정비형)","조합","장안평 중고차매매센터 도시정비형 재개발정비사업조합","용답동 234","조합설립인가","운영","장안평 중고차매매센터 재개발정비구역","성동구 용답동 234-0","29883.70","338658.92","유통상업지역","해당없음","29883.70","","","","","","","자동차 매매관련 복합 시설","59.79","599.60","108","29","6","","","","","공동주택 없음"
"11710-900000132","송파구","","재건축","조합","송파한양2차아파트 재건축정비사업 조합","송파동 151-","조합설립인가","운영","송파한양2차아파트 주택재건축정비사업조합설립추진위원회","송파구 가락로192(송파동) 송파한양2차아파트","54855.20","0.00","제3종일반주거지역","","56313.76","0.00","0.00","0.00","0.00","0.00","","주거요","30.00","230.00","130","","","","","","","미진행상태임"
"11170-100005001","용산구","","재건축","조합","산호아파트 주택재건축 정비사업조합","원효로4가 118-16","조합설립인가","운영","산호아파트 주택재건축정비사업조합","용산구 원효로4가 118-16","27117.30","110126.30","제3종일반주거지역","역사 미관구역(35층이하)","27117.30","","","","2712.00","","","아파트","20.06","280.13","10010","35","2","604","156","293","155",""
"11410-100007001","서대문구","","재건축","조합","홍은동 제5주택재건축정비사업  조합","홍은동 277-45","조합설립인가","운영","홍은5주택재건축정비구역","홍은동277-45번지","34817.00","","제2종일반주거지역","","27680.00","4060.00","1741.00","","","","1336.00","공동주택 및 부대복리시설","23.57","251.73","","20","3","540","110","238","192",""
"11710-900000691","송파구","","재건축","조합","가락극동아파트 재건축사업 조합","가락동 192","조합설립인가","운영","가락극동아파트 재건축사업","송파구 가락동 192-0","40111.50","161356.39","제3종일반주거지역","일반미관지구","36901.50","","3210.00","","","","","공동주택 및 부대복리시설","19.42","299.81","152","35","2","916","396","380","140",""
"11200-900000718","성동구","","재건축","조합","장미아파트주택재건축정비사업","성수동1가 656-421","조합설립인가","운영","장미아파트주택재건축정비사업","성동구 성수동1가 656-421","11084.00","48845.09","준공업지역","","10458.10","625.90","","","","","","공동주택 및 부대복리시설","26.44","284.80","","20","3","263","90","135","38",""
"11530-900000743","구로구","","소규모재건축","조합","월드빌라소규모재건축정비사업조합","궁동 236-1","조합설립인가","운영","월드빌라소규모재건축정비사업","구로구 궁동 236-1외1필지","6113.00","13034.24","2종일반주거지역(7층이하)","","3323.00","","","","","","","공동주택","32.20","249.67","","15","2","","167","15","",""
"11170-900000099","용산구","","재개발(주택정비형)","조합","한남2재정비촉진구역 주택재개발정비사업 조합","보광동 272-3","조합설립인가","운영","한남 제2재정비촉진구역","용산구 보광동 272-3","115005.00","295333.23","제1종일반주거지역제2종일반주거지역(7층)준주거지역","고도지구 미관지구","115005.00","19205.40","3407.20","2837.00","","0.00","5817.70","주상복합 및 공동주택","60.00","203.00","90","15","5","1299","427","584","288",""
"11290-900000106","성북구","","재개발(주택정비형)","조합","정릉골구역주택재개발정비사업조합","정릉동 757","조합설립인가","운영","정릉3동 주택재개발 ","성북구 정릉동 757번지","203965.00","252884.00","제1종일반주거지역 제1종지구단위계획구역","자연경관지구","162151.00","19285.00","1810.00","13056.00","0.00","0.00","7663.00","공동주택","41.12","109.13","20","4","2","","","1156","261",""
"11710-900000615","송파구","","재건축","조합","장미123차아파트 주택재건축정비사업 조합","신천동 7-","조합설립인가","운영","장미123차아파트 주택재건축정비사업","송파구 신천동 7번지 11번지","343266.70","904558.06","제3종일반주거지역","아파트지구","223753.40","55103.00","8758.00","","700.00","23894.80","31057.50","아파트 및 상가","19.70","239.73","","35","2","3913","353","2038","1522","정비계획변경 시 변동"
"11680-900000617","강남구","","재건축","조합","대치우성1차아파트 재건축정비사업조합","대치동 63","조합설립인가","운영","대치우성1차아파트 주택재건축정비사업","강남구 대치동 63-0","28793.00","122016.65","주거지역(제3종일반주거지역)","미관지구","25456.00","171.90","1618.00","","","","","공동주택 및 부대목리시설","19.33","299.99","110","35","3","662","169","300","193",""
"11650-900000610","서초구","","재건축","조합","신반포19차아파트주택재건축정비사업조합","잠원동 61-2","조합설립인가","운영","신반포19차아파트주택재건축정비사업","서초구 잠원동 61-2","13389.10","49813.80","제3종 일반주거지역","아파트지구","","0.00","1100.00","","","","","","19.80","256.76","","33","2","","119","196","","개략적인 시행안"
"11530-900000611","구로구","","재건축","조합","오류동 현대연립 주택재건축정비사업조합","오류동 156-15","조합설립인가","운영","오류동 현대연립 주택재건축 정비사업","구로구 오류동 156-15번지","23223.00","53626.44","제2종일반주거지역(7층이하)","","1798.00","237.00","1561.00","","","","580.40","공동주택 및 부대복리시설","60.00","177.00","43","13","1","388","188","178","22",""
"11500-900000668","강서구","","재건축","조합","방화5재정비촉진구역 재건축정비사업조합","공항동 18","조합설립인가","운영","방화5재정비촉진구역 주택재건축 정비사업","강서구 공항동 18번지","99520.00","238796.60","2종 3종 일반주거지역","고도지구","82357.00","11157.00","4976.00","","","","1030.00","공동주택","23.80","215.99","","","","1500","507","720","273",""
"11560-100004011","영등포구","","재개발(도시정비형)","조합","영등포1-11재정비촉진구역 도시환경정비사업조합","영등포동5가 30","조합설립인가","운영","영등포1-11 도시환경정비구역","영등포구 영등포동5가 30번지","17391.80","140366.98","","일반상업지역","10829.00","2656.70","1262.00","","","","410.00","판매/영업 근린생활 업무","55.35","770.00","130","38","5","","108","293","",""
"11290-100009003","성북구","","재개발(주택정비형)","조합","동소문제2구역 주택재개발정비사업조합","동소문동2가  33","조합설립인가","운영","동소문제2구역 주택재개발정비사업","동소문동2가 33번지 외 248필지","20657.30","80797.63","준주거지역 일반상업지역","","15319.80","4247.30","860.00","","230.20","","","공동주택및 부대복리시설 판매시설","37.00","337.00","100","29","3","421","195","184","42",""
"11545-900000596","금천구","","가로주택정비","조합","독산4동 가로주택정비사업 사업성분석","가산동 1-","조합설립인가","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11560-900000513","영등포구","","재개발(도시정비형)","조합","영등포1-12 재정비촉진구역 재개발정비사업 조합","영등포동5가 22-3","조합설립인가","운영","영등포1-12 재정비촉진구역","영등포동5가 22-3","16256.00","","일반상업지역","중심지미관지구","10578.50","3605.60","1035.90","","","","1036.00","주거판매업무","59.00","750.00","130","38","5","","280","98","",""
"11440-100004008","마포구","","재개발(주택정비형)","조합","공덕제6주택재개발정비사업조합","공덕동 119","조합설립인가","운영","공덕 제6주택재개발정비구역","마포구 공덕동 119번지","11326.00","","제2종일반주거지역","","10841.00","485.00","","","","","","공동주택 및 부대복리시설","27.19","234.99","65","21","2","","83","68","",""
"11305-900000652","강북구","","가로주택정비","조합","수유동 276-6번지(진성빌라) 가로주택정비사업조합","수유동 276-6","조합설립인가","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11650-100002001","서초구","","재건축","조합","방배7구역 주택재건축정비사업조합","방배동 891-3","조합설립인가","운영","방배7구역 주택재건축정비사업","서울시 서초구 방배동 891-3번지","17560.00","49999.44","2종 일반주거지역","","14349.50","2223.70","986.80","","","","","공동주택 및 부대복리시설 ","26.83","230.08","","","","260","32","131","97",""
"11380-100001054","은평구","","재개발(도시정비형)","조합","수색1재정비촉진구역 도시환경정비사업 조합","수색동 366-6","조합설립인가","일시중단","수색1재정비촉진구역 도시환경정비사업조합","서울시 은평구 수색동 311-9번지","4424.00","23281.00","준주거지역","도시재정비촉진지구","","1165.00","0.00","0.00","0.00","0.00","0.00","공동주택","49.80","399.85","","23","4","","","","",""
"11650-900000628","서초구","","재건축","조합","신반포20차아파트 주택재건축정비사업조합","잠원동 60-78","조합설립인가","운영","신반포20차아파트 주택재건축정비사업","서초구 잠원동 60-78","9593.60","40361.95","제3종일반주거지역","","8836.20","223.00","","534.40","","","","공동주택","19.95","299.99","","31","2","195","41","78","76",""
"11710-900000108","송파구","","재건축","조합","잠실우성4차 주택재건축정비사업조합","잠실동 320","조합설립인가","운영","잠실우성4차아파트","서울 송파구 잠실본동 320번지","31630.50","131590.70","제3종일반주거지역","","29945.00","885.50","","","","","800.00","아파트","22.27","307.99","105","35","2","794","250","504","40",""
"11680-900000670","강남구","","재건축","조합","압구정아파트지구 특별계획구역5 재건축정비사업조합","압구정동 490","조합설립인가","운영","압구정아파트지구 특별계획구역5  재건축정비사업","강남구 압구정동 490-0","65736.10","2916416.65","제3종일반주거지역","아파트지구","","5077.00","5272.30","","","","","공동주택 및 부대복리시설","20.00","299.99","","3","35","","625","","809",""
"11470-900000679","양천구","","재건축","조합","신정4재정비촉진구역 재건축정비사업조합","신정동 1200-1","조합설립인가","운영","신정4재정비촉진구역 주택재건축정비사업","양천구 신정동 1200-1","80820.20","235135.84","일반주거지역","","62266.10","10669.80","6538.10","","","","1351.90","공동주택 및 부대복리시설","21.63","242.77","72","21","3","1826","1465","291","70",""
"11260-900000682","중랑구","","가로주택정비","조합","세광하니타운가로주택정비사업조합","중화동 296-44","조합설립인가","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11680-900000683","강남구","","재건축","조합","개포주공5단지아파트 재건축정비사업 조합","개포동 187","조합설립인가","운영","개포주공5단지아파트 주택재건축정비사업","강남구 개포동 187","56173.20","","제3종일반주거지역","주거지역","51036.50","1128.70","4008.00","","","","","공동주택","50.00","299.00","","35","2","1146","136","533","477",""
"11290-900000055","성북구","","재개발(도시정비형)","조합","신길음1구역 재개발정비사업 조합","길음동 31-1","조합설립인가","운영","신길음1구역 재개발정비사업","길음동 31-1번지 일대","8390.00","58381.53","일반상업지역 준주거지역","중심미관지구","5705.00","2685.00","","","","","","판매시설업무시설주거시설","56.36","667.12","103","34","6","","52","182","","가 설계안에 따른 주택공급계획으로 확정되지 않았습니다."
"11410-900000076","서대문구","","재개발(도시정비형)","조합","홍제제2구역 도시환경정비사업조합","홍제동 323-11","조합설립인가","운영","홍제제2구역 도시환경정비사업 조합설립추진위원회","서울시 서대문구 홍제동 294-50번지","3940.00","23004.54","일반상업지역","중심미관지구","3069.00","717.90","","","176.80","","","주상복합","59.97","698.08","80","26","6","","46","23","",""
"11590-100005002","동작구","","재개발(주택정비형)","조합","노량진5재정비촉진구역 조합","노량진동 270-3","조합설립인가","운영","노량진5 재정비촉진구역 주택재개발정비사업조합","서울시 노량진동 270-3","38017.00","118672.22","제1종3종 일반주거지역","","29584.50","6968.50","1464.00","","","","","공동주택 및 부대복리시설","18.57","270.63","90","28","5","515","80","250","185",""
"11560-900000583","영등포구","","재건축","조합","문래진주아파트 주택재건축정비사업조합","문래동5가 22-","조합설립인가","운영","79. 진주아파트 주택재건축정비사업","영등포구 문래동5가 22번지","11188.10","53818.78","준공업지역","","10488.10","","700.00","","","","","공동주택(아파트) 및 부대복리시설","24.50","299.99","71","21","3","284","70","212","2",""
"11710-900000689","송파구","","재건축","조합","가락1차현대아파트 재건축정비사업 조합","문정동 3","조합설립인가","운영","가락1차현대아파트 주택재건축사업","송파구 동남로 160 (문정동 3번지)","33953.70","14911391.98","제3종일반주거지역","제3종일반주거지역","","","","","","","","공동주택 및 부대복리시설","23.71","299.20","104","","","756","143","403","210",""
"11650-900000633","서초구","","재건축","조합","신성빌라 주택재건축정비사업조합","방배동 593-98","조합설립인가","일시중단","신성빌라 주택재건축정비사업 조합설립 추진위원회","서초구 방배동 593-98","4882.00","10328.40","제1종일반주거지역 제2종일반주거지역","","4882.00","","","","","","","공동주택","40.54","151.55","","6","2","","11","79","",""
"11530-900000634","구로구","","가로주택정비","조합","구로동 칠성아파트 가로주택정비사업조합","구로동 685-280","조합설립인가","운영","구로동 칠성아파트 가로주택정비사업","구로구 구로동 685-280","3076.00","12139.04","도시지역","준공업지역","3076.00","5.99","","918.46","","","","공동주택","25.75","248.93","46","15","2","","98","","",""
"11545-900000654","금천구","","재건축","조합","무지개아파트 일대 재건축 정비사업 조합 ","시흥동 109","조합설립인가","운영","시흥동 무지개아파트 일대 재건축 정비사업","금천구 시흥동 109-1","28336.00","143379.11","제3종일반주거지역(무지개연립부지:준주거지역)","최고고도지구(진입표면 해발 297.86m~335.36m)","26922.00","1414.00","","","","","1037.30","공동주택","19.47","299.41","104","34","4","","689","176","",""
"11680-900000669","강남구","","재건축","조합","일원개포한신아파트 재건축정비사업조합","일원동 615-1","조합설립인가","운영","일원개포한신아파트 재건축사업","강남구 일원동 615-1","20876.00","88939.86","제3종 일반주거지역","개포택지개발지구","18499.40","1359.90","0.00","1016.70","0.00","0.00","0.00","공동주택 및 부대시설","24.83","299.78","105","35","3","432","106","228","98",""
"11530-900000677","구로구","","소규모재건축","조합","동양연립소규모재건축사업조합","궁동 171-1","조합설립인가","운영","동양연립(궁동) 주택재건축정비사업","구로구 궁동 171-1번지외 3필지","6550.00","17583.50","제2종일반주거지역","","","","","","","","","공동주택(아파트)","39.99","199.98","","9","1","","155","","",""
"11170-900000619","용산구","","재개발(도시정비형)","조합","신용산역북측 제1구역 도시환경정비사업조합","한강로2가 2-116","조합설립인가","운영","신용산역북측 제1구역 도시환경저비사업","용산구 한강로2가 2-116","14343.00","70111.45","일반상업지역 준주거지역 제3종일반주거지역 제2종 일반주거지역","미관지구 방화지구","9400.00","4469.00","","","","","188.00","업무시설","41.18","828.65","100","30","4","218","22","128","68",""
"11560-900000623","영등포구","","재건축","조합","유원제일2차아파트 재건축정비사업조합","당산동5가 7-2","조합설립인가","운영","유원제일2차아파트 주택재건축정비사업","영등포구 선유동2로 56 유원제일2차아파트","28654.10","","준공업지역","","28654.10","","2951.40","","","","","공동주택 및 부대복리시설","60.00","300.00","70","22","2","711","244","322","145",""
"11710-900000539","송파구","","재개발(주택정비형)","조합","마천4재정비촉진구역 주택재개발정비사업조합","마천동 323-","조합설립인가","운영","마천4 재정비촉진구역 주택재개발정비사업조합설립(변경)인가서","마천동 323번지 일대","60653.00","216716.12","1종일반주거 2종(7층) 일반주거 3종일반주거","주거지역","60653.00","10033.00","1501.00","2108.00","1525.00","","","아파트","21.17","297.71","101","33","3","1208","476","664","68",""
"11650-900000560","서초구","","재건축","조합","신반포4차아파트 재건축정비사업조합","잠원동 70-","조합설립인가","운영","신반포4차아파트 재건축정비사업조합","잠원동 70번지","85420.80","65761.67","제3종 일반 주거지역","아파트지구","81450.37","1994.70","3874.00","6530.00","","","3290.00","아파트","","299.94","","35","2","1621","143","892","586",""
"11500-900000538","강서구","","재건축","조합","방화3재정비촉진구역 재건축정비사업조합","방화동 615-103","조합설립인가","운영","방화3재정비촉진구역","강서구 방화동 615-103","90383.00","248639.30","제2종(12층) 일반주거지역","최고고도 일반미관 공항시설보호","75367.00","6986.00","4520.00","0.00","0.00","1015.00","2495.00","아파트","25.22","222.85","57","15","2","1327","204","742","381","건축면적 연면적 동수는 임대포함"
"11230-900000592","동대문구","","가로주택정비","조합","장안동 326번지 일대 가로주택정비사업 조합","장안동 326-","조합설립인가","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11590-900000601","동작구","","재건축","조합","사당5주택재건축정비사업조합","사당동 303-","조합설립인가","운영","사당5주택재건축정비사업","동작구 사당동 303 번지","20265.00","0.00","제2종 일반주거지역","","19794.00","471.00","","","","","","공동주택 및 부대복리시설","30.00","190.00","35","10","","","349","76","",""
"11650-900000612","서초구","","재건축","조합","남양연립주택재건축정비사업조합","서초동 1611-1","조합설립인가","운영","","","","","","","","","","","","","","","","","","","","","","","",""
